"Passengers (All Carriers - San Jose, CA: Norman Y. Mineta San Jose International (Origin Airport))",,,,
Year,Month,DOMESTIC,INTERNATIONAL,TOTAL
2002,10,"421,156","9,396","430,552"
2002,11,"398,206","12,672","410,878"
2002,12,"436,056","13,919","449,975"
2002,TOTAL,"5,023,909","123,477","5,147,386"
2003,1,"349,083","10,511","359,594"
2003,2,"346,463","9,079","355,542"
2003,3,"397,777","9,620","407,397"
2003,4,"402,979","8,414","411,393"
2003,5,"421,435","8,152","429,587"
2003,6,"465,974","10,332","476,306"
2003,7,"490,453","10,999","501,452"
2003,8,"491,327","11,904","503,231"
2003,9,"385,797","9,336","395,133"
2003,10,"416,413","10,939","427,352"
2003,11,"390,868","11,999","402,867"
2003,12,"413,798","15,246","429,044"
2003,TOTAL,"4,972,367","126,531","5,098,898"
2004,1,"347,076","11,451","358,527"
2004,2,"356,406","9,808","366,214"
2004,3,"424,943","11,132","436,075"
2004,4,"447,082","10,184","457,266"
2004,5,"425,705","10,254","435,959"
2004,6,"475,071","11,377","486,448"
2004,7,"491,199","11,153","502,352"
2004,8,"492,349","10,361","502,710"
2004,9,"400,435","10,063","410,498"
2004,10,"420,467","12,125","432,592"
2004,11,"413,466","13,020","426,486"
2004,12,"426,409","15,105","441,514"
2004,TOTAL,"5,120,608","136,033","5,256,641"
2005,1,"357,743","11,696","369,439"
2005,2,"354,796","8,853","363,649"
2005,3,"433,758","10,752","444,510"
2005,4,"414,008","9,875","423,883"
2005,5,"443,124","11,475","454,599"
2005,6,"480,331","12,459","492,790"
2005,7,"491,209","11,537","502,746"
2005,8,"490,871","10,975","501,846"
2005,9,"424,369","10,813","435,182"
2005,10,"427,908","13,325","441,233"
2005,11,"428,325","12,107","440,432"
2005,12,"417,108","16,327","433,435"
2005,TOTAL,"5,163,550","140,194","5,303,744"
2006,1,"367,641","11,979","379,620"
2006,2,"366,931","9,617","376,548"
2006,3,"431,236","10,813","442,049"
2006,4,"438,994","11,518","450,512"
2006,5,"442,124","12,239","454,363"
2006,6,"471,698","15,076","486,774"
2006,7,"467,904","13,793","481,697"
2006,8,"474,555","11,834","486,389"
2006,9,"407,333","9,961","417,294"
2006,10,"426,314","10,389","436,703"
2006,11,"422,284","6,581","428,865"
2006,12,"421,136","10,888","432,024"
2006,TOTAL,"5,138,150","134,688","5,272,838"
2007,1,"361,931","5,742","367,673"
2007,2,"362,425","4,436","366,861"
2007,3,"430,211","6,054","436,265"
2007,4,"438,481","6,842","445,323"
2007,5,"447,773","6,356","454,129"
2007,6,"479,184","8,065","487,249"
2007,7,"489,782","8,470","498,252"
2007,8,"503,292","7,098","510,390"
2007,9,"408,546","4,867","413,413"
2007,10,"425,847","5,503","431,350"
2007,11,"419,760","6,299","426,059"
2007,12,"397,936","8,957","406,893"
2007,TOTAL,"5,165,168","78,689","5,243,857"
2008,1,"346,996","4,839","351,835"
2008,2,"360,330","3,551","363,881"
2008,3,"414,773","5,000","419,773"
2008,4,"395,984","3,956","399,940"
2008,5,"425,720","4,370","430,090"
2008,6,"444,272","6,863","451,135"
2008,7,"451,211","6,553","457,764"
2008,8,"455,818","6,575","462,393"
2008,9,"358,063","4,602","362,665"
2008,10,"375,665","4,865","380,530"
2008,11,"333,945","6,492","340,437"
2008,12,"342,485","7,841","350,326"
2008,TOTAL,"4,705,262","65,507","4,770,769"
2009,1,"284,736","5,123","289,859"
2009,2,"285,299","3,925","289,224"
2009,3,"333,837","3,731","337,568"
2009,4,"345,322","4,349","349,671"
2009,5,"341,679","3,287","344,966"
2009,6,"370,792","4,781","375,573"
2009,7,"379,245","6,437","385,682"
2009,8,"371,733","5,315","377,048"
2009,9,"324,556","3,872","328,428"
2009,10,"346,517","5,343","351,860"
2009,11,"319,305","5,069","324,374"
2009,12,"329,386","6,651","336,037"
2009,TOTAL,"4,032,407","57,883","4,090,290"
2010,1,"273,685","5,112","278,797"
2010,2,"267,753","3,353","271,106"
2010,3,"322,837","3,422","326,259"
2010,4,"334,316","3,242","337,558"
2010,5,"337,140","7,657","344,797"
2010,6,"367,369","9,148","376,517"
2010,7,"370,994","9,157","380,151"
2010,8,"359,443","5,683","365,126"
2010,9,"325,809","3,902","329,711"
2010,10,"347,160","3,799","350,959"
2010,11,"332,520","4,060","336,580"
2010,12,"339,945","7,197","347,142"
2010,TOTAL,"3,978,971","65,732","4,044,703"
2011,1,"293,718","6,883","300,601"
2011,2,"284,441","5,567","290,008"
2011,3,"335,066","6,230","341,296"
2011,4,"333,747","7,674","341,421"
2011,5,"340,907","7,061","347,968"
2011,6,"367,848","8,391","376,239"
2011,7,"366,429","7,626","374,055"
2011,8,"368,799","6,410","375,209"
2011,9,"330,404","5,974","336,378"
2011,10,"330,603","6,409","337,012"
2011,11,"327,633","6,231","333,864"
2011,12,"332,721","8,498","341,219"
2011,TOTAL,"4,012,316","82,954","4,095,270"
2012,1,"282,781","7,267","290,048"
2012,2,"276,831","3,933","280,764"
2012,3,"321,896","6,615","328,511"
2012,4,"326,485","6,771","333,256"
2012,5,"335,187","6,643","341,830"
2012,6,"366,241","7,518","373,759"
2012,7,"368,020","8,847","376,867"
2012,8,"375,399","7,328","382,727"
2012,9,"323,565","5,813","329,378"
2012,10,"342,047","5,909","347,956"
2012,11,"338,725","6,623","345,348"
2012,12,"326,039","10,688","336,727"
2012,TOTAL,"3,983,216","83,955","4,067,171"
2013,1,"280,464","10,711","291,175"
2013,2,"280,006","8,891","288,897"
2013,3,"333,186","10,343","343,529"
2013,4,"340,759","9,791","350,550"
2013,5,"368,578","10,664","379,242"
2013,6,"377,620","14,221","391,841"
2013,7,"381,004","14,118","395,122"
2013,8,"389,014","13,393","402,407"
2013,9,"337,397","10,835","348,232"
2013,10,"356,896","11,698","368,594"
2013,11,"341,090","13,933","355,023"
2013,12,"368,609","17,248","385,857"
2013,TOTAL,"4,154,623","145,846","4,300,469"
2014,1,"302,521","14,691","317,212"
2014,2,"302,547","11,636","314,183"
2014,3,"349,814","10,651","360,465"
2014,4,"357,915","12,674","370,589"
2014,5,"377,072","13,224","390,296"
2014,6,"411,517","16,582","428,099"
2014,7,"416,954","17,059","434,013"
2014,8,"414,884","14,353","429,237"
2014,9,"373,991","10,503","384,494"
2014,10,"387,273","10,926","398,199"
2014,11,"370,466","13,444","383,910"
2014,12,"381,659","17,512","399,171"
2014,TOTAL,"4,446,613","163,255","4,609,868"
2015,1,"315,542","13,919","329,461"
2015,2,"311,346","10,947","322,293"
2015,3,"359,784","13,655","373,439"
2015,4,"379,522","13,667","393,189"
2015,5,"393,637","15,109","408,746"
2015,6,"424,426","20,177","444,603"
2015,7,"429,649","19,696","449,345"
2015,8,"422,700","18,022","440,722"
2015,9,"387,339","15,055","402,394"
2015,10,"410,590","17,121","427,711"
2015,11,"388,176","16,541","404,717"
2015,12,"392,982","21,304","414,286"
2015,TOTAL,"4,615,693","195,213","4,810,906"
2016,1,"334,743","18,259","353,002"
2016,2,"337,174","15,675","352,849"
2016,3,"397,308","18,377","415,685"
2016,4,"393,497","16,999","410,496"
2016,5,"417,097","25,522","442,619"
2016,6,"463,255","32,513","495,768"
2016,7,"452,209","37,014","489,223"
2016,8,"443,063","33,154","476,217"
2016,9,"419,900","32,450","452,350"
2016,10,"435,636","34,206","469,842"
2016,11,"444,176","29,579","473,755"
2016,12,"439,734","36,633","476,367"
2016,TOTAL,"4,977,792","330,381","5,308,173"
2017,1,"371,213","30,429","401,642"
2017,2,"360,749","25,967","386,716"
2017,3,"439,457","29,866","469,323"
2017,4,"456,125","31,596","487,721"
2017,5,"481,039","35,559","516,598"
2017,6,"524,287","40,270","564,557"
2017,7,"520,822","42,431","563,253"
2017,8,"524,297","39,087","563,384"
2017,9,"479,281","35,780","515,061"
2017,10,"514,784","35,043","549,827"
2017,11,"518,516","30,864","549,380"
2017,12,"510,694","40,740","551,434"
2017,TOTAL,"5,701,264","417,632","6,118,896"
2018,1,"436,115","32,859","468,974"
2018,2,"435,599","29,849","465,448"
2018,3,"513,218","37,069","550,287"
2018,4,"533,958","34,322","568,280"
2018,5,"566,848","41,783","608,631"
2018,6,"598,707","53,822","652,529"
2018,7,"602,606","51,726","654,332"
2018,8,"607,641","47,549","655,190"
2018,9,"542,680","31,179","573,859"
2018,10,"576,819","36,782","613,601"
2018,11,"577,720","33,815","611,535"
2018,12,"556,081","40,814","596,895"
2018,TOTAL,"6,547,992","471,569","7,019,561"
2019,1,"480,457",,
2019,2,"473,854",,
2019,3,"570,007",,
2019,TOTAL,"1,524,318",0,0
,,,,
Note: All numbers are for scheduled services.,,,,
,,,,
SOURCE: Bureau of Transportation Statistics T-100 Market data.,,,,
